INCIDENT_DATE,REG,FLT,OPID,AIRPORT_ID
2015-01-27 14:04:00,N6406D,,BUS,KHWO
2015-01-27 14:41:00,N592NW,1691,DAL,KRSW
2015-01-27 15:10:00,N923AE,3609,ENY,KEVV
2015-01-27 17:35:00,N384SW,949,SWA,KSTL
2015-01-27 20:58:00,,209,ASA,KSEA
2015-01-28 00:00:00,,,,KMCO
2015-01-28 00:00:00,,,,KMFE
2015-01-28 00:00:00,,,,KPIT
2015-01-28 00:00:00,,,,KVNY
2015-01-28 09:00:00,N597FE,,FDX,KMSP
2015-01-28 09:35:00,,326,BUS,KVNY
2015-01-28 10:30:00,N550EC,,BUS,KCNO
2015-01-28 12:00:00,N654PJ,,PVT,
2015-01-28 16:03:00,N523AE,3409,ENY,KJFK
2015-01-28 16:54:00,N201LV,3389,SWA,KMHT
2015-01-28 20:15:00,N221WN,246,SWA,KLIT
2015-01-28 21:55:00,N614AE,3092,ENY,KCLL
2015-01-29 00:00:00,N113HQ,4608,RPA,KPHL
2015-01-29 00:00:00,,,,KLMO
2015-01-29 00:00:00,,,,KSRQ
2015-01-29 00:00:00,,,,KSLC
2015-01-29 00:00:00,,,,KPWM
2015-01-29 00:00:00,,,,KPWM
2015-01-29 13:44:00,,7615,KAL,KLAX
2015-01-29 15:30:00,N768A,,BUS,KJQF
2015-01-30 00:00:00,,,,KJFK
2015-01-30 00:00:00,,,,KCVG
2015-01-30 00:00:00,,,,KDEN
2015-01-30 00:00:00,,,,KDEN
2015-01-30 00:00:00,,,,PHNL
2015-01-30 12:00:00,N979RP,3572,TCF,KEWR
2015-01-30 16:49:00,N990MF,,BUS,KJAX
2015-01-31 00:00:00,,,,KPHX
2015-01-31 00:00:00,,,,KIAH
2015-01-31 07:18:00,,6314,SKW,KBNA
2015-01-31 07:38:00,,3728,SWA,KATL
2015-01-31 13:30:00,N361SW,2590,SWA,KRSW
2015-01-31 16:45:00,,2256,DAL,KMCI
2015-01-31 17:30:00,N747KE,,BUS,KVIS
2015-02-01 00:00:00,,,,KJFK
2015-02-01 00:00:00,,,,KPAE
2015-02-01 10:27:00,,5597,ASQ,KLFT
2015-02-01 10:38:00,N251MX,,BUS,KFXE
2015-02-01 11:07:00,N361SW,2513,SWA,KRSW
2015-02-01 11:20:00,N8657B,4865,SWA,KMCO
2015-02-01 16:45:00,N522US,2297,DAL,KATL
2015-02-01 18:00:00,N913WN,1051,SWA,KSMF
2015-02-02 00:00:00,,,,KSEA
2015-02-02 00:00:00,,,,KRSW
2015-02-02 00:00:00,,,,KBLI
2015-02-02 00:00:00,,,,KMFE
2015-02-02 00:00:00,,,,KLBB
2015-02-02 00:00:00,,,,KCLT
2015-02-02 00:00:00,,,,KMSY
2015-02-02 09:00:00,N10EU,,BUS,KCLT
2015-02-02 10:25:00,,5561,SKW,KDEN
2015-02-02 12:50:00,N765SW,122,SWA,KTPA
2015-02-02 12:59:00,N446RT,334,BUS,KMSN
2015-02-02 15:05:00,N870SP,,BUS,KSPA
2015-02-02 15:20:00,,2444,DAL,KMCO
2015-02-02 17:12:00,N561AA,1542,AAL,KPHL
2015-02-02 18:10:00,N492HA,388,HAL,PHNL
2015-02-02 18:35:00,,813,AAY,KPIE
2015-02-03 00:00:00,,,,KDEN
2015-02-03 00:00:00,,,,KPDX
2015-02-03 00:00:00,,,,KJFK
2015-02-03 06:15:00,,2783,SWA,KONT
2015-02-03 07:00:00,N849AS,5455,ASQ,KATL
2015-02-03 12:30:00,VT-ANT,,AIC,KMYR
2015-02-03 12:50:00,N105VU,,BUS,
2015-02-03 15:20:00,N969SW,6264,SKW,KFAT
2015-02-03 20:30:00,,,BUS,PHMK
2015-02-04 00:00:00,,,,KCMH
2015-02-04 00:00:00,,,,KECG
2015-02-04 00:00:00,,,,KORF
2015-02-04 00:00:00,,,,KSLC
2015-02-04 00:00:00,,,,KSAN
2015-02-04 00:00:00,,,,KMCI
2015-02-04 12:06:00,N770NB,1714,SWA,KABQ
2015-02-04 18:15:00,N7811F,4463,SWA,KMSY
2015-02-04 19:25:00,,3345,TCF,KCVG
2015-02-04 20:55:00,,3663,ENY,KFNT
2015-02-05 00:00:00,,,,KSAN
2015-02-05 00:00:00,,,,KLGB
2015-02-05 00:00:00,,,,KSAN
2015-02-05 02:00:00,N586FE,1605,FDX,KIND
2015-02-05 12:15:00,N902NN,1172,AAL,KDEN
2015-02-05 12:35:00,N155UW,1868,AWE,KDEN
2015-02-05 13:30:00,N939KM,,BUS,KHWD
2015-02-05 14:00:00,N810AW,2113,AWE,KBOS
2015-02-05 16:09:00,,395,AAL,TJSJ
2015-02-05 17:55:00,,2389,SKW,KDEN
2015-02-06 00:00:00,,,,KTPA
2015-02-06 00:00:00,,,,KPHL
2015-02-06 00:00:00,,,,KPAE
2015-02-06 00:00:00,,,,KPIA
2015-02-06 00:00:00,,,,KPIE
2015-02-06 00:00:00,,,,KCMH
2015-02-06 00:00:00,,,,PHNL
2015-02-06 00:00:00,,,,KTPA
2015-02-06 07:06:00,,5476,ASQ,KOKC
2015-02-06 08:10:00,N306FA,306,FAO,KIWA
2015-02-06 08:22:00,N615NK,925,NKS,KOAK
2015-02-06 09:15:00,N231WN,4641,SWA,KSNA
2015-02-06 09:50:00,N915WN,2762,SWA,KMCO
2015-02-06 10:58:00,C2318,,USCG,KMOB
2015-02-06 11:06:00,N8307K,2513,SWA,KRSW
2015-02-06 12:30:00,,,HAL,PHNL
2015-02-06 13:50:00,N550AL,,BUS,KPIE
2015-02-06 15:19:00,N604AW,514,AWE,KPDX
2015-02-06 15:53:00,N681HS,,BUS,KBHM
2015-02-07 00:00:00,,,,KIAH
2015-02-07 00:00:00,,,,KATL
2015-02-07 00:00:00,N69063,14,UAL,PHNL
2015-02-07 01:52:00,N917VZ,,BUS,KMMU
